metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.nutanix.clusters.hypervisor_write_io_bandwidth_kBps,gauge,15,kilobyte,second,Write I/O bandwidth - as reported by the hypervisor,1,rapdev_nutanix,,
rapdev.nutanix.clusters.io_bandwidth_kBps,gauge,15,kilobyte,second,I/O bandwidth of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.nodeCount,gauge,15,node,,Number of nodes,1,rapdev_nutanix,,
rapdev.nutanix.clusters.nodes,gauge,15,node,,Number of nodes,1,rapdev_nutanix,,
rapdev.nutanix.clusters.num_io,gauge,15,operation,,Number of I/O of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.num_iops,gauge,15,operation,second,Number of IOPS of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.num_read_io,gauge,15,read,,Number of read I/O of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.num_read_iops,gauge,15,read,second,Number of read IOPS of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.num_write_io,gauge,15,write,,Number of write I/O of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.num_write_iops,gauge,15,write,second,Number of write IOPS of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.read_io,gauge,15,percent,,Read I/O of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.read_io_bandwidth_kBps,gauge,15,kilobyte,second,Read I/O bandwidth of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.replication_num_received_bytes,gauge,15,byte,,Bytes received for replication of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.replication_num_transmitted_bytes,gauge,15,byte,,Bytes transmitted for replication of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.replication_received_bandwidth_kBps,gauge,15,kilobyte,second,Bandwidth of bytes received for replication of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.replication_transmitted_bandwidth_kBps,gauge,15,kilobyte,second,Bandwidth of bytes transmitted for replication of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.capacity_bytes,gauge,15,byte,,Physical storage capacity of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.free_bytes,gauge,15,byte,,Free physical storage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.logical_usage_bytes,gauge,15,byte,,Logical storage usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.recycle_bin_usage_bytes,gauge,15,byte,,Recycle bin storage usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.reserved_capacity_bytes,gauge,15,byte,,Reserved storage capacity of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.reserved_free_bytes,gauge,15,byte,,Free reserved storage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.reserved_usage_bytes,gauge,15,byte,,Reserved storage usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage.usage_bytes,gauge,15,byte,,Physical storage usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.das_sata.capacity_bytes,gauge,15,byte,,SATA DAS capacity of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.das_sata.free_bytes,gauge,15,byte,,Free SATA DAS storage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.das_sata.pinned_usage_bytes,gauge,15,byte,,SATA DAS pinned storage usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.das_sata.usage_bytes,gauge,15,byte,,SATA DAS storage usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.ssd.capacity_bytes,gauge,15,byte,,SSD storage capacity of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.ssd.free_bytes,gauge,15,byte,,Free SSD storage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.ssd.pinned_bytes,gauge,15,byte,,SSD pinned capacity of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.ssd.pinned_usage_bytes,gauge,15,byte,,SSD pinned usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.storage_tier.ssd.usage_bytes,gauge,15,byte,,SSD storage usage of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.timespan_usecs,gauge,15,microsecond,,Timespan of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.total_io_size_kbytes,gauge,15,kilobyte,,Total I/O size of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.total_io_time_usecs,gauge,15,microsecond,,Total I/O time of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.total_read_io_size_kbytes,gauge,15,kilobyte,,Total read I/O size of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.write_io,gauge,15,percent,,Write I/O of the cluster,1,rapdev_nutanix,,
rapdev.nutanix.clusters.write_io_bandwidth_kBps,gauge,15,kilobyte,second,Write I/O bandwidth,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_avg_io_latency_usecs,gauge,15,microsecond,,Average read and write I/O latency of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_avg_read_io_latency_usecs,gauge,15,microsecond,,Average read I/O latency of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_avg_read_io_size_kbytes,gauge,15,kilobyte,,Average read I/O of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_avg_write_io_latency_usecs,gauge,15,microsecond,,Average write I/O latency of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_avg_write_io_size_kbytes,gauge,15,kilobyte,,Average write I/O size of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_io_bandwidth_kBps,gauge,15,kilobyte,second,Read and write I/O bandwidth of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_num_io,gauge,15,operation,,Number of I/O of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_num_iops,gauge,15,operation,second,Number of IOPS of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_num_random_io,gauge,15,operation,,Number of random I/O of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_num_read_io,gauge,15,read,,Number of read I/O of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_num_read_iops,gauge,15,read,second,Number of read IOPS of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_num_write_io,gauge,15,write,,Number of write I/O of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_num_write_iops,gauge,15,write,second,Number of write IOPS of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_read_io,gauge,15,percent,,Read I/O of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_read_io_bandwidth_kBps,gauge,15,kilobyte,second,Read I/O bandwidth of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_timespan_usecs,gauge,15,microsecond,,Timespan of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_total_io_size_kbytes,gauge,15,kilobyte,,Total I/O size of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_total_io_time_usecs,gauge,15,microsecond,,Total I/O time of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_total_read_io_size_kbytes,gauge,15,kilobyte,,Total read I/O size of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_total_read_io_time_usecs,gauge,15,microsecond,,Total read I/O time of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_write_io,gauge,15,percent,,Write I/O of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.controller_write_io_bandwidth_kBps,gauge,15,kilobyte,second,Write I/O bandwidth of the storage container - as reported by the controller,1,rapdev_nutanix,,
rapdev.nutanix.containers.count,gauge,15,,,Number of storage containers,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.clone.saving_ratio,gauge,15,percent,,Data reduction clone saving ratio of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.clone.user_saved_bytes,gauge,15,byte,,Data reduction clone user saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.compression.post_reduction_bytes,gauge,15,byte,,Data reduction post reduction compression of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.compression.pre_reduction_bytes,gauge,15,byte,,Data reduction pre reduction compression of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.compression.saving_ratio,gauge,15,percent,,Data reduction compression saving ratio of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.compression.user_post_reduction_bytes,gauge,15,byte,,Data reduction compression user post reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.compression.user_pre_reduction_bytes,gauge,15,byte,,Data reduction compression user pre reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.compression.user_saved_bytes,gauge,15,byte,,Data reduction compression user saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.dedup.post_reduction_bytes,gauge,15,byte,,Data reduction deduplication post reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.dedup.pre_reduction_bytes,gauge,15,byte,,Data reduction deduplication pre reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.dedup.saving_ratio,gauge,15,percent,,Data reduction deduplication saving ratio of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.dedup.user_saved_bytes,gauge,15,byte,,Data reduction deduplication saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.erasure_coding.parity_bytes,gauge,15,byte,,Data reduction erasure coding parity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.erasure_coding.post_reduction_bytes,gauge,15,byte,,Data reduction erasure coding post reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.erasure_coding.pre_reduction_bytes,gauge,15,byte,,Data reduction erasure coding pre reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.erasure_coding.saving_ratio,gauge,15,percent,,Data reduction erasure coding saving ratio of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.erasure_coding.user_post_reduction_bytes,gauge,15,byte,,Data reduction erasure coding user post reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.erasure_coding.user_pre_reduction_bytes,gauge,15,byte,,Data reduction erasure coding user pre reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.erasure_coding.user_saved_bytes,gauge,15,byte,,Data reduction erasure coding user saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.overall.saving_ratio,gauge,15,percent,,Data reduction overall saving ratio of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.overall.user_saved_bytes,gauge,15,byte,,Data reduction overall user saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.post_reduction_bytes,gauge,15,byte,,Data reduction post reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.pre_reduction_bytes,gauge,15,byte,,Data reduction pre reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.saved_bytes,gauge,15,byte,,Data reduction saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.saving_ratio,gauge,15,percent,,Data reduction saving ratio of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.thin_provision.saving_ratio,gauge,15,percent,,Data reduction thin provisioning saving ratio of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.thin_provision.user_saved_bytes,gauge,15,byte,,Data reduction thin provisioning user saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.user_post_reduction_bytes,gauge,15,byte,,Data reduction user post reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.user_pre_reduction_bytes,gauge,15,byte,,Data reduction user pre reduction of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.data_reduction.user_saved_bytes,gauge,15,byte,,Data reduction user saved of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.capacity_bytes,gauge,15,byte,,Physical storage capacity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.container_reserved_capacity_bytes,gauge,15,byte,,Reserved capacity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.disk_physical_usage_bytes,gauge,15,byte,,Physical disk usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.free_bytes,gauge,15,byte,,Free storage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.logical_usage_bytes,gauge,15,byte,,Logical storage usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.recycle_bin_logical_usage_bytes,gauge,15,byte,,Logical recycle bin usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.recycle_bin_usage_bytes,gauge,15,byte,,Physical recycle bin usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.reserved_capacity_bytes,gauge,15,byte,,Reserved capacity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.reserved_free_bytes,gauge,15,byte,,Free storage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.reserved_usage_bytes,gauge,15,byte,,Reserved usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.snapshot_reclaimable_bytes,gauge,15,byte,,Reclaimable snapshot storage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.unreserved_capacity_bytes,gauge,15,byte,,Unreserved capacity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.unreserved_free_bytes,gauge,15,byte,,Free unreserved storage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.unreserved_own_usage_bytes,gauge,15,byte,,Unreserved own usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.unreserved_usage_bytes,gauge,15,byte,,Unreserved usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.usage_bytes,gauge,15,byte,,Physical usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.user_capacity_bytes,gauge,15,byte,,Physical user capacity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.user_container_own_usage_bytes,gauge,15,byte,,User container own usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.user_container_reserved_capacity_bytes,gauge,15,byte,,User reserved capacity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.user_disk_physical_usage_bytes,gauge,15,byte,,Physical disk user usage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.user_free_bytes,gauge,15,byte,,Free user storage of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.user_other_containers_reserved_capacity_bytes,gauge,15,byte,,User reserved other containers capacity of the storage container,1,rapdev_nutanix,,
rapdev.nutanix.containers.storage.user_reserved_capacity_bytes,gauge,15,byte,,User reserved capacity of the storage container,1,rapdev_nutanix,,
