metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rapdev.o365.skype.activity.participant.minutes,gauge,300,minute,,Skype daily participant minute counts by activity type,1,office_365,,
rapdev.o365.skype.activity.participant.minutes.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.participant.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.participant.users,gauge,300,user,,"Skype daily, unique participant user counts by activity type",1,office_365,,
rapdev.o365.skype.activity.participant.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.activity.users,gauge,300,,,Skype daily user counts by activity type,1,office_365,,
rapdev.o365.skype.activity.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.skype.device.users,gauge,300,device,,"Skype daily, unique user counts by device type",1,office_365,,
rapdev.o365.skype.device.users.refresh,gauge,300,day,,Elapsed days since report refresh,1,office_365,,
rapdev.o365.teams.activity.users,gauge,300,user,,"Teams daily, unique user count by activity type",1,office_365,,
rapdev.o365.teams.activity.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.teams.device.users,gauge,300,user,,"Teams daily, unique user count by device type",1,office_365,,
rapdev.o365.teams.device.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.yammer.activity,gauge,300,,,Yammer daily activity counts by activity type,1,office_365,,
rapdev.o365.yammer.activity.groups,gauge,300,,,"Yammer daily, unique group count by activity type",1,office_365,,
rapdev.o365.yammer.activity.groups.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.yammer.activity.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.yammer.activity.users,gauge,300,user,,"Yammer daily, unique user count by activity type",1,office_365,,
rapdev.o365.yammer.activity.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.yammer.device.users,gauge,300,user,,"Yammer daily, unique user count by device type",1,office_365,,
rapdev.o365.yammer.device.users.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.yammer.groups.active,gauge,300,,,"Yammer daily, active group count",1,office_365,,
rapdev.o365.yammer.groups.refresh,gauge,300,day,,Elapsed days since last report refresh,1,office_365,,
rapdev.o365.yammer.groups.total,gauge,300,,,"Yammer daily, total group count",1,office_365,,
datadog.marketplace.rapdev.o365,gauge,300,,,,1,office_365,,
rapdev.o365.synthetic.email.last_sent,gauge,300,second,,Time elapsed since remote synthetic email probe was sent,1,office_365,,
rapdev.o365.synthetic.email.last_seen,gauge,300,second,,Time elapsed since agent last contacted synthetic email infrastructure,1,office_365,,
rapdev.o365.synthetic.email.bounced,gauge,300,,,Bounce state of the remote synthetic email probe delivery,1,office_365,,
rapdev.o365.synthetic.email.rtt,gauge,300,millisecond,,Round-Trip time for email send and receive from remote synthetic email infrastructure,1,office_365,,
rapdev.o365.synthetic.email.hops,gauge,300,file,,Number of SMTP relay hops for round-trip processing of email message probe,1,office_365,,
rapdev.o365.synthetic.response,gauge,300,,,State of synthetic http request,1,office_365,,
rapdev.o365.synthetic.response.time,gauge,300,millisecond,,Elapsed time of synthetic http request,1,office_365,,
rapdev.o365.synthetic.IisLatency,gauge,300,millisecond,,Time in milliseconds taken for SharePoint Online begin loading the page,1,office_365,,
rapdev.o365.synthetic.spRequestDuration,gauge,300,millisecond,,Time taken for SharePoint to process the page,1,office_365,,
rapdev.o365.synthetic.QueryCount,gauge,300,,,Query count,1,office_365,,
rapdev.o365.synthetic.QueryDuration,gauge,300,millisecond,,Query duration,1,office_365,,
rapdev.o365.synthetic.CPUDuration,gauge,300,millisecond,,CPU duration,1,office_365,,
rapdev.o365.synthetic.ClaimsAuthenticationTime,gauge,300,millisecond,,Time take for claims authentication by ClaimsAuthenticationTimeType,1,office_365,,
rapdev.o365.synthetic.Network_WindowScaleOption,gauge,300,,,Network window scale option,1,office_365,,
rapdev.o365.synthetic.Network_PacketRetransmitCount,gauge,300,,,Network packet retransmit count,1,office_365,,
rapdev.o365.synthetic.Network_SmoothedRoundTripTime,gauge,300,millisecond,,Network smoothed round-trip time,1,office_365,,
